时间,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,
2025-08-31 12:06:50.731	,1553.392334,0,0,
2025-08-31 12:07:00.732	,1552.758667,0,0,1553.978638,0,0,
2025-08-31 12:07:10.731	,1552.754395,0,0,1553.987793,0,0,
2025-08-31 12:07:20.731	,1552.767090,0,0,1554.036499,0,0,
2025-08-31 12:07:30.731	,1552.768433,0,0,1554.036377,0,0,
2025-08-31 12:07:40.731	,1552.754028,0,0,1553.985474,0,0,1554.872437,0,0,
2025-08-31 12:07:50.731	,1552.758545,0,0,1554.032349,0,0,1554.812500,0,0,1554.816650,0,0,1555.154175,0,0,
2025-08-31 12:08:00.732	,1552.774170,0,0,1554.009888,0,0,
2025-08-31 12:08:10.732	,1554.038696,0,0,
2025-08-31 12:08:20.731	,1554.043457,0,0,
2025-08-31 12:08:30.731	,1554.026489,0,0,
2025-08-31 12:08:40.731	,1554.039307,0,0,
2025-08-31 12:08:50.731	,1554.017456,0,0,
2025-08-31 12:09:00.732	,1554.036743,0,0,
2025-08-31 12:09:10.731	,1554.038696,0,0,
2025-08-31 12:09:20.731	,1554.087036,0,0,
2025-08-31 12:09:30.731	,1554.062622,0,0,
2025-08-31 12:09:40.731	,1555.166748,0,0,
2025-08-31 12:09:50.731	,1555.159546,0,0,
2025-08-31 12:10:00.731	,1555.186401,0,0,1556.302246,0,0,
2025-08-31 12:10:10.731	,1555.191406,0,0,
2025-08-31 12:10:20.731	,1555.158447,0,0,
2025-08-31 12:10:30.731	,1555.189087,0,0,
2025-08-31 12:10:40.731	,1555.195313,0,0,
2025-08-31 12:10:50.731	,1555.191895,0,0,
2025-08-31 12:11:00.731	,1555.205933,0,0,
2025-08-31 12:11:10.731	,1555.199951,0,0,
2025-08-31 12:11:20.731	,1555.169800,0,0,
2025-08-31 12:11:30.731	,1555.592163,0,0,
2025-08-31 12:11:40.731	,1555.199951,0,0,
2025-08-31 12:11:50.731	,1555.632446,0,0,
2025-08-31 12:12:00.731	,1554.103638,0,0,1555.620483,0,0,
2025-08-31 12:12:10.731	,1555.642944,0,0,
2025-08-31 12:12:20.732	,1556.287109,0,0,
2025-08-31 12:12:30.731	,1556.297852,0,0,
